n,eps_cinf,eps_hann,eps_std
32,1.1779408471381248834e-7,2.462197632216543e-05,1.125482219800490e-01
33,1.0893514721950183334e-7,2.279624529274841e-05,1.108292599243070e-01
34,1.0505360761280160569e-7,2.115463377982763e-05,1.091867400887030e-01
35,1.0230386893031092602e-7,1.967393159164334e-05,1.076151586521775e-01
36,9.4811476326906361889e-8,1.833440798593502e-05,1.061095511555808e-01
37,8.4060125618434978434e-8,1.711921145112536e-05,1.046654263818341e-01
38,7.2577927517830564243e-8,1.601388589231341e-05,1.032787098819307e-01
39,5.9712884753149776053e-8,1.500597827687006e-05,1.019456955264419e-01
40,4.8505954838519141241e-8,1.408471862316402e-05,1.006630037683950e-01
41,3.7476427486454748943e-8,1.324075757524731e-05,9.942754554561369e-02
42,2.8693439771373861706e-8,1.246595009247586e-05,9.823649094344224e-02
43,2.0832910694187561551e-8,1.175317627879815e-05,9.708724189320508e-02
44,1.4947163757788008679e-8,1.109619228538359e-05,9.597740830613849e-02
45,1.0228372305917515717e-8,1.048950569021918e-05,9.490478714325615e-02
46,7.0018338071760935629e-9,9.928270897483706e-06,9.386734400359753e-02
47,5.0240872697003908396e-9,9.408200987732917e-06,9.286319688036927e-02
48,4.0543383158396302646e-9,8.925493146510883e-06,9.189060178959925e-02
49,3.8489226986405726456e-9,8.476765348325524e-06,9.094794002141247e-02
50,3.7676997899922455884e-9,8.059002408413701e-06,9.003370680174670e-02
51,3.7208967449764134500e-9,7.669509861710491e-06,8.914650118371251e-02
52,3.5502482864727015766e-9,7.305874406260178e-06,8.828501701402761e-02
53,3.2931586272817326257e-9,6.965929871779012e-06,8.744803484195189e-02
54,2.9792458636697691979e-9,6.647727854633622e-06,8.663441465666309e-02
55,2.6121525317024076861e-9,6.349512307005471e-06,8.584308935465061e-02
56,2.2557485882129532907e-9,6.069697487376400e-06,8.507305885195557e-02
57,1.8868815374052747855e-9,5.806848777105863e-06,8.432338476735009e-02
58,1.5620805611903683217e-9,5.559665948033089e-06,8.359318561215383e-02
59,1.2507623029346312856e-9,5.326968532102376e-06,8.288163243060033e-02
60,9.9210749976917990365e-10,5.107682998638933e-06,8.218794484171053e-02
61,7.5936836152920819943e-10,4.900831490232186e-06,8.151138743968961e-02
62,5.7487688371513712773e-10,4.705521905926482e-06,8.085126651508737e-02
63,4.2063307560908342851e-10,4.520939151932036e-06,8.020692706347762e-02
64,3.0598808780104093499e-10,4.346337406471927e-06,7.957775005232627e-02
65,2.2331012332272702619e-10,4.181033267559048e-06,7.896314992011653e-02
66,1.7211235514118723641e-10,4.024399671187914e-06,7.836257228475944e-02
67,1.4902121978021580828e-10,3.875860483217261e-06,7.777549184090017e-02
68,1.4024391746602445799e-10,3.734885681590698e-06,7.720141042798943e-02
69,1.3978769984314376114e-10,3.600987056906729e-06,7.663985525296742e-02
70,1.3800921789242286388e-10,3.473714369023367e-06,7.609037725314619e-02
71,1.3484224322052853424e-10,3.352651905637257e-06,7.555254958640432e-02
72,1.2857420725280329026e-10,3.237415395842891e-06,7.502596623715611e-02
73,1.2000229267729076670e-10,3.127649237733683e-06,7.451024072774673e-02
74,1.0998274904609654995e-10,3.023024004314625e-06,7.400500492597842e-02
75,9.8591791360784325964e-11,2.923234196478270e-06,7.350990794040502e-02
76,8.7269300107463098566e-11,2.827996215667089e-06,7.302461509586126e-02
77,7.5548375345711337556e-11,2.737046532193201e-06,7.254880698242888e-02
78,6.4780696723930947707e-11,2.650140028084198e-06,7.208217857169834e-02
79,5.4284818041776138938e-11,2.567048495845173e-06,7.162443839476972e-02
80,4.5105595723536575755e-11,2.487559276716167e-06,7.117530777695892e-02
81,3.6571297023130264946e-11,2.411474023913989e-06,7.073452012464350e-02
82,2.9385189658266543924e-11,2.338607578013843e-06,7.030182026010089e-02
83,2.3007085462082869827e-11,2.268786943084642e-06,6.987696380056843e-02
84,1.7840301932866919604e-11,2.201850353468275e-06,6.945971657809170e-02
85,1.3535289024340877054e-11,2.137646422213004e-06,6.904985409703224e-02
86,1.0264044392579783485e-11,2.076033363157716e-06,6.864716102637899e-02
87,7.8852161832947572538e-12,2.016878279529728e-06,6.825143072425524e-02
88,6.3654168271532322624e-12,1.960056512682578e-06,6.786246479223514e-02
